Date;Group;Series;Value
02/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,815
05/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8173
06/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8173
07/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8173
08/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8153
09/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8114
12/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8081
13/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
14/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8081
15/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8094
16/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8117
19/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8087
20/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
21/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8074
22/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
23/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,81
26/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8071
27/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8071
28/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,81
30/05/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,812
02/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8147
03/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
04/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8137
05/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8137
06/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
10/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,814
11/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8147
12/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8173
13/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8183
16/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,816
17/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8177
18/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8207
19/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,818
23/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8183
24/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8137
25/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
26/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8094
27/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
30/06/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8107
01/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8048
02/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8055
03/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,811
04/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8104
07/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8042
08/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8104
09/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
10/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8133
11/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,815
14/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8117
15/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8133
16/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8133
17/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
18/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8045
21/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,80
22/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,7997
23/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8026
24/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8068
25/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8071
28/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
29/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8104
30/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8084
31/07/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
01/08/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8045
04/08/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8026
05/08/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8055
06/08/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8068
